cleaned,is_fake
кнессет израиль постанавливать сделать обрез огнестрельный оружие,1
опубликовывать неизвестный произведение сэлинджер,0
российский дачник обязывать выращивать морковь,1
уаз объяснять рост цена свой продукция глобальный подорожание нанопроводник,1
дагестан зарплата учитель зависеть получать школьник оценка,1
москвич мочь посмотреть послушать крупный писатель испания,0
германия находить фрагмент конный статуя император август,0
виктор золотов призывать женщина готовый воспитывать ребенок отдавать росгвардия,1
строитель обвинять евроцемент груп незаконный повышение цена,0
приезжать клуб ковидный вечеринка москвич оштрафовать выпивать сотрудник полиция,1
лыжница приносить сборная россия шестой золото паралимпиада,0
greenpeace начинать выбрасывать океан биоразлагаемый пластик кормежка кит,1
вмс индия вооружаться второй фрегат невидимка,0
сихарулидзе определять главный недостаток дуэт кавагути смирнов,0
moodys понижать кредитный рейтинг латвия,0
россия белоруссия договариваться поставка нефть,0
тимошенко преодолевать топливный кризис,0
lg снабжать включать экран,0
уральский вице губернатор похищать неизвестный заставлять принимать дар шесть квартира внедорожник,1
иннопром подписывать соглашение ремонт детский сад село арамашево,1
участник климатический форум глазго выбрасывать море тонна пластиковый стаканчик,1
сколково вывести собака который самостоятельно проходить курс фронтенд разработка яндекс,1
виктор янукович отказываться приютить альфа конда свой ростовский дом расистский соображение,1
центробанк запрещать выдавать кредит айфон,1
россиянин мочь наказывать уклонение участие всероссийский перепись население,1
бритни спирс обвинять жестокий обращение ребенок,0
центр новосибирск входить список объект всемирный культурный наследие юнеско,1
динамо удерживать победа матч сатурн,0
обманывать сочинский дольщик оказываться наркоман,1
газпром вкладывать ангола миллион доллар,0
терновый венец иисус замироточить нефть,1
англия снимать фильм палач человек,0
российский семья называть новорожденный близнец марио луиджи выплачивать nintendo млн рубль,1
милиция защищать футболист локомотив болельщик,0
официально анонсировать третий дополнение skyrim,0
футболист зенит отделываться штраф буйство аэропорт,0
союзмолока называть треть надоедать бумажный,0
травма спина помешать лоськов выступать евро,0
победный серия лидер чемпионат кхл прерываться,0
август вход мавзолей ленин доступный исключительно предъявление qr код,1
киргизия пройти фестиваль насвайный скульптура,1
собянин подарить омск станция московский метро,1
бельгия запрещать школа принимать работа учитель татуировка,1
путин назарбаев поделить каспийский море,0
чиновник объявлять голодовка перенос ялтинский экономический форум,1
ирак соглашаться обменять долг россия нефть,0
россия создавать национальный реестр антипрививочник,1
спартак довольный решение дело сычев,0
выигрывать авангард кубок гагарин пропадать метровый дорожный яма,1
кудрин счесть нереалистичный выполнение задача медведев ввп,0
июль вырастать тариф газ электроэнергия грузовой железнодорожный перевозка,0
пользователь интернет назначать альба девушка бонд,0
турецкий форвард нихат отказываться переходить спартак,0
решение цукерберг придерживать акция facebook помогать вырастать процент,0
роскосмос опровергать отказ полет луна,0
нацгвардия подавать иск дональд трамп млн доллар зимний протест,1
обнаруживать волшебный тумбочка глава гибдд ставропольский край снимать обвинение коррупция,1
лукашенко предлагать переводить навальный минский сизо,1
глава роскосмос выступать просветительский миссия американский школьник,1
metoo летний американка детство посещать мавзолей ленин рассказывать домогательство сторона вождь мировой пролетариат,1
египетский власть передавать голова аменхотепа iii,0
алтайский край подымать средний зарплата регион путем увеличение число член краевой правительство,1
археолог обнаруживать первый история журналист интервьюер жить iii тысячелетие наш эра,1
центробанк понижать курс евро копейка,0
moodys сохранять негативный прогноз развитие российский банковский система,0
китай поддерживать заявка владивосток проведение летний олимпиада,1
среди зритель парад победа санкт петербург задерживать сторонник алексей навальный,1
барселона поставлять ультиматум основной вратарь,0
запрет американский посольство нанимать россиянин житель подмосковье переставать мочиться подъезд,1
швеция издали библия который иисус упоминаться имя,1
астроном увидеть молодой солнечный система,0
язык народ россия входить школьный программа,1
чешский линкор ян жижка взять курс керченский пролив,1
москва награждать школьник который сообщать покупка родитель поддельный сертификат вакцинация,1
чубайс предлагать ограничивать новогодний выходной день,1
бюджет закладывать полтриллион рубль возрождение колхоз,1
вместо сковорода купюра номинал гривень размещать кастрюля,1
владимир зеленский проводить новогодний корпоратив мвф погашение часть госдолг украина,1
нидерланды закупать сушеный конский навоз отопление жилой дом,1
глава вымпелком предсказывать исчезновение безлимитный тариф,0
москвич обслуживаться ресторан магазин краснодарский край вводить санкция против житель столица,1
байден проводить операция имплантация ssd диск,1
разбор гостиница россия обходиться миллион доллар,0
чиновник научать незаметно присваивать деньги бюджет,1
путин объявлять год год правый человек россия,1
священник запрещать тушить пожар возникать благодатный огонь,1
игрок фк москва отвергать обвинение расизм,0
олимпийский чемпионка журова проводить экскурсия школьник,0
прогрессивный сми бить тревога возможный рост наркофобия новосибирский инцидент,1
карта мир племя майя год отсутствовать великобритания,1
москва задерживать американец умышленно заражать коронавирус дмитрий киселев,1
подготовить законопроект переселение москвич арктика,1
ничто сделать просто выходить спеть юрий лоза раскритиковывать победитель евровидение,1
ельцин центр потратить празднование день рождение сорос млн рубль,1
моргенштерн назначать врио губернатор пензенский область,1
совет управляющий фрс сша покидать фредерик мишкин,0
шотландия умирать создатель банкомат,0
эминь высмеивать эми уайнхаус новый клип,0
еспча призывать россия прекращать репрессия отношение сотрудник гибдд,1
минобороны отправлять отставка весь офицер фамилия власов,1
пласидо доминго петь кремль соборный красный площадь,0
темный молния называть предвестник обычный,0
земекиснуть спилберг дружба дружба бизнес врозь,0
сергей юран продолжать карьера тренер россия,0
star ocean the last hope выходить неделя рано обещать,0
swtor появляться европа сша одновременно,0
владимир мединский русофобский высказывание лидер европа сша карла великий байден,1
восстановление саяно шушенский гэс подешеветь миллиард рубль,0
капитан арсенал заказывать результат жеребьевка лига чемпион,0
ответ приостановка поставка тухлый яйцо грузия закрывать завод боржоми саранск,1
украина решать продавать российский актив крым,0
французский коммунист требовать вынести тело наполеон дом инвалид,1
гость ялта просить нападать крокодил сбегать затопление крокодиляриум,1
airbus получать февраль заказ,0
автор хороший комментарий защита бузова получать дом подмосковье,1
глава фрс отчитываться конгресс покупка актив bear stearns,0
германия согласовывать митинг антипрививочник памятник доктор менгель,1
честь летие иа панорама князь монако присваивать дворянство сотрудник издательство,1
китай вкладывать миллиард доллар курорт северный кавказ,0
кержаков выздоравливать матч армения,0
дорожный знак москва дополнять табличка шрифт брайль,1
биолог разбираться предназначение коготь хищный птица,0
кельтский тигр приезжать москва,0
берег калифорния появляться подводный лаборатория,0
поражение игра польша помешать команда сша выходить финал,0
razer представлять мышка трансформер,0
чемпионский бой валуев перенести неопределенный срок,0
самый популярный игра апрель сша становиться prototype,0
байден подписывать указ скачкообразный увеличение цена продукт россия,1
алексей навальный помещать штрафной изолятор критика движение талибан,1
константин эрнст отправлять манизывать евровидение заявка отзывать неделя назад,1
источник допускать потеря прогресс,0
мир heroes of might and magic v расширяться восток,0
вход последний выставка мамышев монро сделать бесплатный,0
защитник клуб нхл обвинять браконьерство,0
месся удалять камень почка,0
это новый российский ученый определять хороший возраст политик,1
педро альмодовар прерывать съемка свой новый фильм,0
ход антитеррористический операция альфа задерживать похититель рецепт сырок б ю александров,1
доминирование динозавр объяснять быстрый размножение,0
сапсан перевозить полтора миллион пассажир,0
cnn выпускать фильм расследование этажный дворец дональд трамп,1
опубликовывать баттл оксимирон dizaster русский перевод,0
грета тунберг осуждать авиакомпания который увеличивать углеродный след полет обход белоруссия,1
россия переходить собственный система измерение,1
росстат приукрашать данные темп рост промышленность,0
уличать коррупция чиновник отправлять соловецкий монастырь,1
российский пловчиха становиться плохо финиш,0
заказчик скульптура против гендерный неравенство оштрафовать сексизм сша,0
московский динамо пробиваться топ баскетбольный евролига,0
пропадать лес пенсионер привлекать ответственность несанкционированный сбор ягода,1
первый сотня миллиардер мир входить семь россиянин,0
поймать путин щука получать материальный компенсация решение еспча,1
эрмитаж появляться зал мебель экс глава гибдд ставрополье,1
суд запрещать россия хит ac dc highway to hell,1
манчестер сити обыгрывать челси чемпионат англия,0
золотов принимать расторгуев союз боевой офицер россия,1
рейтинг стоимость жизнь москва опускаться позиция,0
отпуск лето смочь брать работник ребенок,1
залп донецкий рсзо снежинка чебурашка попадать видео,0
мокнуть восстанавливать членство олимпийский комитет россия,0
российский легкоатлетка выигрывать олимпийский золото мировой рекорд,0
межведомственный комиссия переписывать финал колобок,1
билл гейтс отзывать чип который лукашенко вылечивать коронавирус технический неисправность,1
государство получать право принудительно женить россиянин,1
sony представлять компьютер моноблок,0
песок сообщать время самоизоляция путин учиться играть арфа,1
марина ле пена призывать отказываться евро ради экю,0
ноябрь сбербанк начинать продавать гражданин ссср доллар копейка,1
габриэль гарсиа маркес прощать голливуд ради деньги,0
прибыль роснефть вырастать,0
печерский районный суд киев запрещать деятельность уефа украина,1
спокойный ночь малыш показывать специальный выпуск посвящать гкчп,1
youtube канал дмитрий пучков заблокировать израиль,1
лидер сборная швеция хоккей сломать нога шайба,0
минфин повышение цена водка приводить подорожание алкоголь,1
иерусалим торжественно открывать памятник сталин,1
безработица испания упасть впервые год,0
мхат вручать театральный премия чайка,0
новый часть ratchet clank выпускать blu ray,0
украинский атомщик возобновлять поставка электроэнергия россия,0
паромный сообщение сахалин япония закрывать убыток,0
знать сколько больной каждый день омский больница вспомнить пациент навальный,1
миасский бомж признавать нежелательный организация физлицо реабилитация нацизм,1
эшли симпсон выходить замуж басистый fall out boy,0
дворкович подтвердить выдвижение сын сергей иванов набсовет россельхозбанк,0
роснефть решать продавать актив чечня,0
ягр называть силовой прием овечкин нелегальный,0
прихожанин нижегородский храм устанавливать ворота бюст ленин оплевание,1
февраль состояться всероссийский фестиваль стрельба фонарик,1
киев появляться улица алексей навальный,1
максим чуд объявлять завершение карьера,0
николай лукашенко становиться единственный кандидат выборы староста класс,1
сотрудник pixar нарисовать мультфильм свободный работа время,0
украинский олимпиец похвастаться футболка цитата яценюк пуля лоб,0
тверской суд обязывать германия оплачивать восстановление железный дорога тверь,1
дерипаска выступать против избрание стржалковский пост гендиректор норникель,0
валентин юдашкин создавать униформа полевой капеллан рпц,1
peugeot отзывать россия тысяча кроссовер,0
российский банка увеличивать прибыль пять,0
telenor удаваться заблокировать слияние vimpelcom wind,0
сеть опубликовывать ответ путин прямой линия июнь,1
писатель александра пелевин смочь арестовывать нехватка место спецприемник,1
российский губернатор опаздывать военный сбор,0
депутат прошедший новый состав госдума организовывать курс возвращение реальный жизнь,1
россия запрещать работать программист наличие профильный образование,1
россия запрещать продавать сигарета,1
сми узнавать смена гендиректор российский космический система,0
угроза обрушение ярославль закрытый торговый комплекс,0
грета тунберг обвинять петров боширов глобальный потепление,1
премьер министр таиланд покупать ливерпуль,0
авиакомпания белавиа доставлять мигрант минск самолет сухой суперджет,1
сызрань срываться приезд губернатор вернуть трава желтый цвет,1
абрамович представать швейцарский суд,0
место утечка дизельный топливо норильск создавать туристический маршрут,1
мэрил стрип получать награда центр кеннеди,0
разбиваться бобслеистка перевозить мюнхен вертолет,0
доказывать внеземной происхождение кинжал тутанхамон,0
незабивать пенальти футболист спартак попросить уходить,0
лукойл предлагать выплачивать дивиденд год,0
вдвое дешево плацкарта ржд начинать продавать билет зацепер,1
поручение путин ель село красноярский край украшать новогодний игрушка,1
плющенко выигрывать турнир япония,0
медведев призывать привыкать дешевый нефть санкция,0
оплачивать покупка алкоголь российский магазин карта мир,1
ванга предсказывать помазание новый русский царь сибирский тайга,1
президент epic games рассказывать отменять сиквел bulletstorm,0
апарт отель аркадий ротенберг пройти серия семинар посвящать борьба коррупция,1
весь отравлять твой страна сегодня это запрещать вчера госдума объяснять рост число закон запрет,1
сколково разрабатывать ускоритель интернет,1
ассоциация нпф собирать половина пенсионный накопление россия,0
газпром резко сокращать экспорт газ,0
следственный комитет начинать проверка факт растрата разработка дизайн логотип зао кировлес студия артемий лебедев,1
министр культура ради снятие санкция готовый проводить столько лгбт фестиваль сколько потребоваться,1
ананд смочь обыгрывать крамник второй партия матч первенство мир шахматы,0
обзор рынок повышение учетный ставка обвалить европейский индекс,0
уткин раскритиковывать сравнение чеченский футболист баран,0
букмекер называть летний болельщик кандидат тренер спартак,0
еспча признавать незаконный разгром войско карла xii полтава,1
ubisoft выпускать самоучитель игра гитара,0
житель берлин избивать депутат партия зеленый пообещать бороться глобальный потепление,1
тигипко разрешать купить дочка сбербанк львов,0
жена актер робин уильямс подавать развод,0
госдума ограничивать реклама жилищный строительство,0
яндекс создавать нейросеть озвучивать твит ройзман голос пучков,1
мартин хингис решать вернуться большой спорт,0
кудрин россия готовый одномоментный погасить весь долг парижский клуб,0
еврокомиссия предлагать создавать новый регулятор финансовый система ес,0
находить древний письмена западный полушарие,0
москва пройти ретроспектива фильм кира муратова,0
гостиница село косиха алтайский край переоборудовать исправительный колония,1
путин замечать снижение темп рост безработица россия,0
кошман прогнозировать резкий увеличение добыча нефть чечня,0
устранять утечка парк газовщик задерживать подозрение осквернение символ воинский слава,1
россия темп строительство упасть процент,0
квентин тарантино выбирать хороший фильм год,0
бывший тренер медведева уходить фигуристка,0
участница новый сезон шоу холостяк побороться рука сердце бывший муж любовь соболь,1
гурбангулы бердымухамедов признаваться являться автор сценарий сериал игра кальмар,1
казак потребовать возбуждать уголовный дело против голосовой помощник siri отрицание решающий роль советский народ победа второй мировой война,1
казахстан потребовать россия компенсация разграбление целинный земля,1
трава эволюционировать быстро дерево,0
индекс ммвб превышать пункт,0
нижний новгород чиновник признавать сквер центр город аварийный отдавать земля застройщик,1
макгрегор захотеть драться нурмагомедов россия,0
дворкович предлагать запрещать субсидия производитель водка,0
боно ругаться никто оскорблять,0
rambler group договариваться продажа price ru холдинг capital,0
госдума опровергать план закупка израильский беспилотников,0
математик представлять решение проблема тысячелетие,0
экс редактор engadget обрисовывать облик iphone,0
сдавать полночь кострома женщина медик предупреждать ответственность присвоение подарок власть март,1
кремль мочь назначать регион губернатор оппозиционер период введение qr код,1
беглов посоветовать власть мадрид убирать снег,1
певец юркисс становиться автор новый гимн россия,1
австралия размещать резерв китайский облигация,0
предвыборный список единый россия возглавлять медведев мишустин мишкин,1
toyota ликвидировать молодежный марка scion,0
игра red alert отправлять печать,0
сша мексика год получать природный газ сахалин,0
николай валуев побеждать сергей ляхович,0
рпц допускать дефолт церковный облигация год,1
банка кредитор трансаэро рассматривать сценарий спасение компания,0
слатшейминг становиться олимпийский вид спорт год,1
тренер сборная сербия урезать зарплата провал чм,0
менеджер мосэнерго выдавать золотой парашют,0
сергей овчинников возглавлять минский динамо,0
сша основывать профсоюз подданный великобритания,1
нижнетагильский археолог раскапывать советский технологический линия выпускать пирожок копейка,1
гувд московский область обнародоваться итог рок фестиваль нашествие,0
цска счет разгромить зенит,0
путин пообещать восстановление экономика течение год,0
фьюри захотеть подраться обама,0
путин отменять поездка газовый саммит болгария,0
динамо сыграть вничью омония первый матч раунд плей офф квалификация ле,0
вычет время сон срочный служба продлять месяц,1
двор омск течение час очищать снег появление надпись навальный,1
шойгу предлагать присваивать игрок world of tanks статус ветеран танковый войско,1
головастик тростниковый жаба оказываться каннибал,0
рогозин россия создавать свой окололунный станция посольство храм,1
oxxxуmiron отсуживать ром жиган авторский право свой песня,1
весь исключительно добровольно российский аэропорт открываться пункт откачка зарубежный вакцина,1
сайт госуслуга появляться капча проверка русофобия,1
дацюк подтвердить свой возвращение россия,0
сериал призрак опера снимать режиссер амели,0
подмосковье известный химтрейл споттер едва убивать заледенеть струя мочь самолет,1
creative запрещать пользователь записывать радиотрансляция,0
вместе выборы госдума сентябрь пройти всероссийский референдум возвращение крепостной право,1
наказание сталинский репрессия дефицит рпц называть причина распад ссср,1
американский недра раскупать иностранец,0
сербский футболист отчислять сборная отказ петь национальный гимн,0
гурбангулы бердымухамедов побеждать первый туркменистан конкурс красота,1
спч объявлять й год иностранный агент,1
лукашенко объявлять проведение новый президентский выборы почта,1
биткоин разделяться валюта,0
русский язык убирать слово плешивый,1
китаец создавать звуковой колонка углеродный нанотрубок,0
двадцатка хороший инвестор ртс попадать робот,0
пьер нарцисс представлять белоруссия евровидение год,1
минфин ограничивать выплата премия топ менеджер банк,0
минтруд предлагать расширять программа материнский капитал гражданин узбекистан,1
максим галкин объявлять развод пугачева переезд великобритания,1
голди хоун отказываться сниматься виагровый дневник,0
сбой работа госуслуга утерять данные перепись население,1
москва запрещать въезжать автомобиль старый год,1
годовой убыток ирландский банк превышать миллиард евро,0
норильский никель выходить международный фондовый рынок,0
россия принудительно возобновлять членство соседний страна овд,1
январь сми смочь работать член союз журналист россия,1
сша евросоюз открываться небо,0
бывший инженер кб южный сконструировать баллистический ракета доставка контрабандный сигарета украина румыния,1
чубайс предлагать преемник министерство,0
челси обыгрывать арсенал полуфинал кубок англия,0
путин шойгу выигрывать товарищеский матч против team spirit,1
мокнуть принимать решение награждать золотой медаль спортсмен публично поддерживать blm,1
порт дмитрий аленичев смочь переигрывать депортиво,0
домайданиться гастролер янукович высмеивать саакашвили,1
израиль обнаруживать фрагмент древнеегипетский сфинкс,0
цик отказывать независимый кандидат депутат роман юнеман несоответствие требование форма череп,1
nokia создавать концепт смартфон заявка пользователь,0
время административный арест сергей смирнов главный редактор медиазон становиться маргарита симоньян,1
селин дион предлагать свой песня качество олимпийский гимн,0
northrop grumman предлагать радар f экспорт,0
вдова лучано паваротти обвинять сми нападки семья певец,0
правительство субсидировать гражданин покупка телевизор,1
геннадий зюганов предлагать георгий романов жена проводить медовый месяц екатеринбург,1
сборная россия заявлять трое хоккеист участие чм,0
обещать против майданов пашинян подавать суд джордж сорос,1
лицензия производство спирт стоить минимальный зарплата,0
список крупный компания мир попадать российский китайский,0
туркменский ученый доказывать ахалтекинский происхождение троянский конь,1
коби брайант побивать рекорд нба летний давность,0
шарапов поделиться мнение договорный матч,0
переход четырехдневный рабочий неделя касаться чиновник,1
лаборатория касперский заявлять массовый воровство троянский конь цыганский хакер,1
украинец пообещать льготный кредит покупка негазовый котел,0
б султан выбирать симоньян первый жена эрдоган похвалить глава rt красота интеллект,1
российский спутник выгонять нарушитель космический пространство рф,1
мохсен махмальбаф возглавлять жюри сахалинский кинофестиваль,0
газпром занимать второй место рейтинг газовый гигант обгонять сатурн,1
президент ран попросить пограничник останавливать бегство ученый россия,1
россия начинать строить фрегат новый поколение,0
латвийский экспортер приостанавливать поставка шпроты россия,1
замена русский колея европейский ржд выделять трлн рубль,1
boeing сделать управляемый бомба,0
россия опровергать завышение цена су индонезия,0
второй фильм хоббит возглавлять североамериканский кинопрокат,0
екатеринбургский митрополит конфликт губернатор освящать штаб навальный,1
вячеслав бык заключать контракт клуб кхл,0
федерация шахматы россия рассматривать вопрос лишение яна непомнящий звание гроссмейстер,1
банкомат сбербанк голос объявлять остаток счет считывание карта,1
суд оправдывать чиновник который получать взятка время магнитный буря,1
ковальчук называть претендент госпакет ростелеком,0
воз включать наркофобия международный классификация болезнь,1
тяжелый эпидемиологический ситуация уголовный наказание коррупция заменять штраф рубль,1
ес потребовать добавлять мультфильм маша медведь лгбт персонаж,1
джек уайт дебютировать качество режиссер,0
минский кот приговаривать сутки арест одиночный пикет использование бчб символика,1
суд санкт петербург относить слово феминизм женский род,1
совет право человек призывать убирать иностранный финансирование условие присвоение статус иноагент,1
школа низкий средний балл егэ педагог снижать зарплата,1
нужон swift ваш владимирский пенсионерка потребовать правительство отключать платежный система россия,1
явлинский осуждать иностранный дипломат попытка оказывать давление суд дело навальный,1
пьянство линдси лохан следить браслет,0
вампир обходить скрудж макдак рейтинг миллиардер forbes,0
аэрофлот вынуждать депутат бедный регион летать салон простолюдин,1
трехкратный чемпионка игра плавание завершать карьера,0
каждый зарегистрировать участник митинг освобождение навальный получать купон скидка пятерочка,1
европарламент потребовать израиль свертывать система железный купол,1
valve анонсировать новый соревновательный карта cs mansion cs go черноморский локация,1
журнал world soccer включать украинский футболист список хороший игрок год,0
брать следственный эксперимент суд закрывать дело против полковник полиция дом который обнаруживать кг кокаин,1
airbus сделать конкурент лайнер мечта,0
арбитр кубок европа синхронный плавание подозревать сговор,0
союз тма второй попытка отстыковываться мкс,0
коллектив ветеран афганистан начинать тур сша,1
файловый хостинг megaupload подавать суд universal music,0
государство это получать чубайс называть позорный практика сбор деньги больной ребенок sms,1
химки националист устраивать проверка знание русский литература,1
